Frame,Conf,X,Y,Width,Height,ID,ID_Norm
0,0.880859375,517,336,120,90,1,0
0,0.8291015625,728,207,75,60,2,1
0,0.82666015625,682,318,108,81,3,2
0,0.78271484375,580,277,99,79,4,3
0,0.77978515625,426,279,85,54,5,4
0,0.67236328125,846,240,48,33,6,5
0,0.6689453125,382,252,63,49,7,6
0,0.5908203125,1145,285,67,49,8,7
0,0.52734375,930,249,57,45,9,8
1,0.875,518,337,120,89,1,0
1,0.81298828125,727,207,76,59,2,1
1,0.81884765625,685,319,109,82,3,2
1,0.72509765625,581,278,97,80,4,3
1,0.7734375,426,279,84,55,5,4
1,0.662109375,846,240,45,33,6,5
1,0.60205078125,382,253,61,48,7,6
1,0.65478515625,1143,284,68,49,8,7
1,0.515625,930,249,56,45,9,8
2,0.880859375,519,338,120,90,1,0
2,0.81396484375,726,206,77,59,2,1
2,0.8056640625,688,319,108,83,3,2
2,0.66357421875,583,278,98,80,4,3
2,0.75341796875,427,280,83,53,5,4
2,0.6806640625,844,240,47,33,6,5
2,0.6298828125,383,253,62,49,7,6
2,0.6689453125,1141,284,67,48,8,7
3,0.87841796875,521,339,121,92,1,0
3,0.79296875,726,206,78,59,2,1
3,0.84912109375,690,320,109,84,3,2
3,0.79052734375,428,279,85,54,5,4
3,0.611328125,843,240,46,33,6,5
3,0.67578125,383,253,61,48,7,6
3,0.7578125,1138,284,66,48,8,7
3,0.5390625,925,248,54,45,9,8
3,0.5078125,436,230,50,42,10,9
4,0.8740234375,523,340,122,93,1,0
4,0.81396484375,726,206,77,59,2,1
4,0.81640625,693,321,109,86,3,2
4,0.6533203125,587,278,101,81,4,3
4,0.79443359375,428,279,84,56,5,4
4,0.50390625,841,240,46,33,6,5
4,0.7041015625,384,253,63,49,7,6
4,0.72802734375,1137,284,65,48,8,7
4,0.51171875,925,248,53,44,9,8
5,0.8740234375,524,342,123,93,1,0
5,0.69921875,723,206,74,59,2,1
5,0.7919921875,696,322,110,86,3,2
5,0.615234375,590,279,103,81,4,3
5,0.79296875,429,281,84,56,5,4
5,0.60205078125,841,240,47,32,6,5
5,0.70068359375,385,254,65,49,7,6
5,0.72314453125,1135,283,65,48,8,7
5,0.544921875,437,230,52,42,10,9
6,0.88330078125,526,343,123,94,1,0
6,0.73876953125,722,206,73,59,2,1
6,0.84716796875,699,322,112,87,3,2
6,0.673828125,591,279,103,81,4,3
6,0.8154296875,430,281,85,56,5,4
6,0.56005859375,840,239,46,32,6,5
6,0.69580078125,386,254,64,50,7,6
6,0.76904296875,1134,283,66,48,8,7
6,0.615234375,439,231,51,42,10,9
7,0.89013671875,529,343,125,95,1,0
7,0.796875,720,205,69,59,2,1
7,0.85986328125,702,323,113,87,3,2
7,0.68603515625,593,280,103,82,4,3
7,0.82666015625,430,281,85,57,5,4
7,0.70068359375,386,254,62,50,7,6
7,0.69921875,1131,283,66,48,8,7
7,0.60205078125,439,231,50,42,10,9
8,0.88720703125,530,345,125,96,1,0
8,0.8173828125,719,206,67,58,2,1
8,0.8427734375,705,325,114,87,3,2
8,0.5888671875,595,281,103,82,4,3
8,0.83544921875,431,281,85,57,5,4
8,0.5078125,838,239,45,31,6,5
8,0.63330078125,387,254,62,50,7,6
8,0.662109375,1129,283,65,48,8,7
8,0.54296875,919,248,52,42,9,8
8,0.55078125,440,231,49,42,10,9
9,0.884765625,532,346,126,95,1,0
9,0.81982421875,719,205,67,58,2,1
9,0.7919921875,708,325,115,87,3,2
9,0.642578125,597,282,104,82,4,3
9,0.830078125,432,282,85,57,5,4
9,0.53125,837,239,45,32,6,5
9,0.611328125,389,254,64,50,7,6
9,0.6318359375,1127,282,65,48,8,7
9,0.5908203125,440,231,50,42,10,9
10,0.87060546875,534,347,128,96,1,0
