Frame,Conf,X,Y,Width,Height,ID,ID_Norm
0,0.90673828125,1836,691,168,117,1,0
0,0.8896484375,1105,683,171,96,2,1
0,0.88427734375,828,685,148,83,3,2
0,0.8232421875,589,663,105,68,4,3
0,0.822265625,918,656,93,48,5,4
0,0.81884765625,495,656,84,54,6,5
0,0.7919921875,788,652,102,65,7,6
0,0.73095703125,429,650,67,45,8,7
0,0.68408203125,1023,666,109,75,9,8
0,0.673828125,1248,671,67,78,10,9
0,0.640625,723,646,57,46,11,10
0,0.552734375,1350,678,219,112,12,11
0,0.5390625,1350,678,220,112,13,12
0,0.5078125,1201,667,57,55,14,13
0,0.501953125,483,615,78,43,15,14
1,0.892578125,1843,692,149,115,1,0
1,0.89404296875,1115,683,170,94,2,1
1,0.87255859375,835,686,151,79,3,2
1,0.83203125,593,663,104,66,4,3
1,0.8017578125,923,656,91,47,5,4
1,0.8291015625,499,656,86,55,6,5
1,0.72802734375,790,653,103,65,7,6
1,0.76220703125,431,650,67,46,8,7
1,0.74609375,1026,665,114,74,9,8
1,0.62060546875,1255,670,66,77,10,9
1,0.51171875,727,646,55,47,11,10
1,0.607421875,1359,678,221,113,13,12
1,0.525390625,1209,668,60,56,14,13
1,0.537109375,486,613,75,43,15,14
2,0.87158203125,1852,692,134,115,1,0
2,0.900390625,1124,684,173,95,2,1
2,0.87744140625,842,687,151,80,3,2
2,0.8154296875,598,663,104,67,4,3
2,0.78271484375,930,656,92,46,5,4
2,0.81982421875,502,657,86,53,6,5
2,0.74169921875,796,653,102,64,7,6
2,0.7607421875,435,650,67,45,8,7
2,0.65673828125,1035,665,109,76,9,8
2,0.71875,1266,670,63,77,10,9
2,0.6513671875,735,647,59,46,11,10
2,0.546875,1367,679,226,114,12,11
2,0.60009765625,1215,669,60,55,14,13
2,0.64599609375,487,614,78,44,15,14
3,0.85498046875,1854,693,125,114,1,0
3,0.892578125,1135,685,175,95,2,1
3,0.8662109375,851,688,153,79,3,2
3,0.8408203125,603,664,107,68,4,3
3,0.79443359375,936,657,92,48,5,4
3,0.81396484375,505,658,86,54,6,5
3,0.77197265625,801,652,104,64,7,6
3,0.75927734375,438,650,68,45,8,7
3,0.73095703125,1043,665,109,76,9,8
3,0.658203125,1276,670,66,79,10,9
3,0.67724609375,737,647,61,46,11,10
3,0.69921875,1377,680,227,115,12,11
3,0.55078125,1223,669,60,55,14,13
3,0.609375,488,614,77,45,15,14
4,0.7958984375,1869,694,98,114,1,0
4,0.89013671875,1147,685,174,96,2,1
4,0.87744140625,861,689,154,79,3,2
4,0.83203125,605,664,114,68,4,3
4,0.71533203125,942,657,93,48,5,4
4,0.7919921875,507,657,84,55,6,5
4,0.7431640625,805,652,105,64,7,6
4,0.75634765625,441,650,69,46,8,7
4,0.71044921875,1049,666,111,78,9,8
4,0.59814453125,739,647,59,47,11,10
4,0.6826171875,1386,680,232,116,12,11
4,0.56396484375,491,614,77,45,15,14
4,0.53125,220,641,73,45,18,12
5,0.7490234375,1880,703,76,98,1,0
5,0.89013671875,1158,686,176,97,2,1
5,0.875,869,690,155,80,3,2
5,0.8310546875,609,664,116,70,4,3
5,0.77587890625,949,657,95,50,5,4
5,0.73583984375,509,658,84,55,6,5
5,0.77734375,809,653,107,65,7,6
5,0.67919921875,444,650,68,48,8,7
5,0.76904296875,1054,667,115,79,9,8
5,0.5546875,743,647,57,47,11,10
5,0.67236328125,1394,681,238,118,12,11
5,0.5908203125,1245,670,61,55,14,9
5,0.51953125,493,614,78,46,15,14
5,0.60205078125,1814,654,135,37,25,13
6,0.60009765625,1892,707,52,94,1,0
6,0.892578125,1169,687,178,98,2,1
6,0.86083984375,878,691,158,81,3,2
6,0.822265625,616,665,114,69,4,3
6,0.7548828125,955,657,93,52,5,4
6,0.68603515625,513,658,83,55,6,5
6,0.796875,814,653,108,66,7,6
6,0.716796875,448,650,65,49,8,7
6,0.77197265625,1061,667,115,79,9,8
6,0.505859375,746,647,54,48,11,10
6,0.7294921875,1401,681,245,118,12,11
6,0.556640625,1256,670,64,57,14,9
6,0.67919921875,1791,654,135,37,25,13
7,0.8974609375,1181,688,180,100,2,1
7,0.8671875,887,691,159,83,3,2
7,0.83203125,622,665,112,69,4,3
7,0.77880859375,961,656,94,53,5,4
7,0.7216796875,518,659,88,55,6,5
7,0.81982421875,818,654,108,67,7,6
7,0.73876953125,452,650,68,49,8,7
7,0.7578125,1069,667,116,81,9,8
7,0.73095703125,1412,682,248,118,12,11
7,0.6513671875,1267,671,62,56,14,9
7,0.60205078125,1766,654,132,37,25,13
8,0.90283203125,1192,688,182,100,2,1
8,0.8916015625,896,692,160,84,3,2
8,0.83740234375,627,666,113,70,4,3
8,0.70263671875,972,658,87,50,5,4
8,0.63720703125,519,658,83,56,6,5
8,0.7548828125,823,654,109,68,7,6
8,0.740234375,456,650,69,47,8,7
8,0.8408203125,1075,668,121,82,9,8
8,0.51171875,757,648,60,49,11,0
8,0.689453125,1423,683,250,118,12,11
8,0.529296875,1278,671,63,57,14,9
8,0.77880859375,1742,653,127,37,25,13
