Frame,Confidence,X,Y,Width,Height,ID,ID_Norm
0,0.927734375,1710,746,401,178,1,0
0,0.88623046875,1114,689,174,79,2,1
0,0.8857421875,822,666,120,64,3,2
0,0.8759765625,1299,666,147,77,4,3
0,0.85400390625,1533,687,186,103,5,4
0,0.8447265625,945,661,124,63,6,5
0,0.81982421875,611,661,105,58,7,6
0,0.79296875,379,634,94,64,8,7
0,0.7705078125,503,632,52,30,9,8
0,0.69287109375,1827,720,183,160,10,9
0,0.68408203125,317,600,53,69,11,10
0,0.6826171875,810,600,174,61,12,11
0,0.61328125,628,645,94,61,13,12
0,0.57177734375,987,654,79,61,14,13
0,0.541015625,1155,630,87,33,15,14
1,0.91796875,1725,748,386,182,1,0
1,0.8857421875,1124,689,176,80,2,1
1,0.8857421875,827,666,121,64,3,2
1,0.8818359375,1309,666,149,77,4,3
1,0.8759765625,1547,688,183,103,5,4
1,0.85009765625,952,662,124,62,6,5
1,0.77880859375,615,661,109,59,7,6
1,0.73095703125,382,635,95,63,8,7
1,0.751953125,504,632,53,29,9,8
1,0.7578125,805,600,172,61,12,11
1,0.65673828125,631,646,97,59,13,12
1,0.5869140625,989,654,89,62,14,13
1,0.521484375,1405,640,106,31,17,15
2,0.91064453125,1740,750,355,181,1,0
2,0.8857421875,1136,690,178,80,2,1
2,0.88818359375,832,667,120,65,3,2
2,0.87158203125,1321,667,152,79,4,3
2,0.8984375,1563,689,185,104,5,4
2,0.84912109375,959,662,126,63,6,5
2,0.83203125,624,663,112,59,7,6
2,0.74609375,385,636,95,62,8,7
2,0.76611328125,506,632,54,29,9,8
2,0.78271484375,321,600,50,67,11,9
2,0.74755859375,799,600,171,61,12,11
2,0.66357421875,991,655,100,60,14,13
2,0.556640625,1396,640,90,32,17,15
2,0.658203125,1866,680,107,80,23,10
3,0.91357421875,1756,753,324,187,1,0
3,0.880859375,1149,691,179,81,2,1
3,0.884765625,840,667,123,65,3,2
3,0.88330078125,1335,667,154,80,4,3
3,0.8740234375,1584,690,195,107,5,4
3,0.8388671875,968,663,128,64,6,5
3,0.82568359375,631,663,113,59,7,6
3,0.80908203125,390,636,96,62,8,7
3,0.76611328125,509,632,55,30,9,8
3,0.71044921875,320,600,54,68,11,9
3,0.7646484375,793,600,169,61,12,11
3,0.61669921875,998,654,103,58,14,13
3,0.60009765625,1118,629,85,29,15,12
3,0.56787109375,1713,652,104,26,26,14
4,0.92236328125,1774,756,291,193,1,0
4,0.8916015625,1162,692,182,82,2,1
4,0.8798828125,846,667,122,66,3,2
4,0.8759765625,1349,668,153,82,4,3
4,0.8232421875,1612,692,213,109,5,4
4,0.85009765625,978,663,131,65,6,5
4,0.81982421875,638,664,113,60,7,6
4,0.80908203125,394,636,97,62,8,7
4,0.77734375,512,632,55,30,9,8
4,0.732421875,322,601,54,69,11,9
4,0.69287109375,787,600,167,62,12,11
4,0.59619140625,1010,653,97,54,14,13
4,0.537109375,201,623,65,42,16,10
4,0.517578125,276,624,51,38,22,15
5,0.89697265625,1791,760,257,195,1,0
5,0.88623046875,1176,693,184,83,2,1
5,0.8798828125,851,667,122,67,3,2
5,0.86962890625,1362,669,155,82,4,3
5,0.8671875,1627,695,205,113,5,4
5,0.845703125,985,664,130,66,6,5
5,0.83349609375,644,664,112,61,7,6
5,0.740234375,399,637,95,62,8,7
5,0.74462890625,515,632,56,30,9,8
5,0.689453125,325,601,53,70,11,9
5,0.5947265625,780,601,165,61,12,11
5,0.6806640625,1020,654,96,57,14,13
6,0.89111328125,1808,757,223,186,1,0
6,0.89404296875,1189,695,188,84,2,1
6,0.87646484375,858,668,123,67,3,2
6,0.8896484375,1377,669,158,82,4,3
6,0.8642578125,1648,697,209,117,5,4
6,0.8427734375,996,664,133,65,6,5
6,0.84814453125,651,664,112,62,7,6
6,0.70556640625,403,638,94,62,8,7
6,0.7734375,519,632,56,30,9,8
6,0.68603515625,326,600,53,70,11,9
6,0.552734375,774,601,163,61,12,11
6,0.607421875,1028,654,97,57,14,13
6,0.5390625,205,622,63,41,16,10
7,0.88720703125,1826,756,187,180,1,0
7,0.880859375,1203,695,189,85,2,1
7,0.873046875,866,669,123,67,3,2
7,0.880859375,1390,670,159,82,4,3
7,0.87646484375,1670,699,217,118,5,4
7,0.845703125,1006,665,138,66,6,5
7,0.85205078125,658,665,113,64,7,6
7,0.77734375,407,638,96,63,8,7
7,0.7880859375,522,632,56,31,9,8
7,0.56201171875,772,602,165,62,12,11
7,0.56201171875,1036,655,101,57,14,13
7,0.57958984375,207,622,64,41,16,10
7,0.5927734375,304,601,103,77,19,12
8,0.8916015625,1844,758,149,180,1,0
8,0.89111328125,1218,696,191,86,2,1
8,0.8662109375,872,670,125,67,3,2
8,0.89013671875,1405,671,161,83,4,3
