Frame,ID,Class,Confidence,X,Y,Width,Height
0,1,car,0.880859375,517,336,120,90
0,2,truck,0.8291015625,728,207,75,60
0,3,car,0.82666015625,682,318,108,81
0,4,truck,0.7841796875,580,277,99,79
0,5,car,0.77978515625,426,279,85,54
0,6,car,0.67236328125,846,240,48,33
0,7,car,0.6689453125,382,252,63,49
0,8,car,0.5908203125,1145,285,67,49
0,9,truck,0.52734375,930,249,57,45
0,10,car,0.38671875,435,230,51,42
1,1,car,0.875,518,338,120,90
1,2,truck,0.81298828125,727,207,75,59
1,3,car,0.81884765625,685,319,109,82
1,4,truck,0.72509765625,581,278,97,80
1,5,car,0.7734375,426,279,84,55
1,6,car,0.662109375,846,240,45,33
1,7,car,0.60205078125,382,253,61,49
1,8,car,0.65478515625,1143,284,68,49
1,9,truck,0.515625,930,249,56,45
1,10,car,0.42626953125,436,230,49,42
2,1,car,0.880859375,519,338,120,90
2,2,truck,0.81396484375,726,206,76,59
2,3,car,0.80419921875,688,319,108,83
2,4,truck,0.66357421875,583,278,98,80
2,5,car,0.75341796875,427,280,83,53
2,6,car,0.6806640625,844,240,47,33
2,7,car,0.6298828125,383,253,62,49
2,8,car,0.67041015625,1141,284,67,48
2,9,truck,0.474609375,927,248,55,46
2,10,car,0.453369140625,436,230,50,42
3,1,car,0.87841796875,521,339,121,92
3,2,truck,0.79296875,726,206,78,59
3,3,car,0.84912109375,690,320,109,84
3,4,truck,0.4921875,586,278,101,80
3,5,car,0.79052734375,428,279,85,54
3,6,car,0.611328125,843,240,46,33
3,7,car,0.67578125,383,253,61,48
3,8,car,0.75927734375,1138,284,66,48
3,9,truck,0.5390625,925,248,54,45
3,10,car,0.5078125,436,230,50,42
4,1,car,0.8740234375,523,340,122,93
4,2,truck,0.81396484375,726,206,77,59
4,3,car,0.81640625,693,321,109,86
4,4,truck,0.6533203125,587,278,100,81
4,5,car,0.79443359375,428,279,84,56
4,6,car,0.50390625,841,240,46,33
4,7,car,0.7041015625,384,253,63,49
4,8,car,0.72802734375,1137,284,65,48
4,9,truck,0.51171875,925,248,53,44
4,10,car,0.49609375,436,230,52,42
5,1,car,0.8740234375,524,342,123,93
5,2,truck,0.69921875,723,206,74,59
5,3,car,0.7919921875,696,322,110,86
5,4,truck,0.61328125,590,279,103,81
5,5,car,0.79296875,429,281,84,56
5,6,car,0.60009765625,841,240,47,32
5,7,car,0.70068359375,385,254,65,49
5,8,car,0.72314453125,1135,283,65,48
5,9,truck,0.478515625,923,248,53,43
5,10,car,0.544921875,437,230,52,43
5,13,car,0.346923828125,630,212,29,23
6,1,car,0.88330078125,526,343,123,94
6,2,truck,0.73876953125,722,206,73,59
6,3,car,0.84716796875,699,322,112,87
6,4,truck,0.673828125,591,279,103,81
6,5,car,0.8154296875,430,281,85,56
6,6,car,0.56005859375,840,239,46,32
6,7,car,0.69580078125,386,254,64,50
6,8,car,0.76904296875,1134,283,66,48
6,9,truck,0.4609375,922,248,53,43
6,10,car,0.615234375,439,231,51,42
6,13,car,0.33984375,630,211,29,23
7,1,car,0.89013671875,529,343,125,95
7,2,truck,0.796875,720,205,69,59
7,3,car,0.85986328125,702,323,113,87
7,4,truck,0.6875,593,280,103,82
7,5,car,0.82666015625,430,281,85,57
7,6,car,0.418701171875,839,239,46,32
7,7,car,0.70068359375,386,254,62,50
7,8,car,0.69921875,1131,283,66,48
7,9,truck,0.48828125,921,248,52,43
7,10,car,0.60205078125,439,231,50,42
7,13,car,0.329345703125,629,211,29,24
8,1,car,0.88720703125,530,345,125,96
8,2,truck,0.81640625,719,206,67,58
8,3,car,0.8427734375,705,325,114,87
8,4,truck,0.5888671875,595,281,103,82
8,5,car,0.83447265625,431,281,85,57
8,6,car,0.5078125,838,239,45,31
8,7,car,0.63330078125,387,254,62,50
8,8,car,0.66357421875,1129,283,65,48
8,9,truck,0.54296875,919,248,52,42
8,10,car,0.55078125,440,231,49,42
8,13,car,0.350341796875,629,211,29,24
9,1,car,0.884765625,532,346,126,95
9,2,truck,0.81982421875,719,205,67,58
9,3,car,0.7919921875,708,325,115,87
9,4,truck,0.642578125,597,282,104,82
9,5,car,0.830078125,432,282,85,57
9,6,car,0.529296875,837,239,45,32
9,7,car,0.611328125,389,254,64,50
9,8,car,0.6318359375,1127,282,65,48
9,9,truck,0.451416015625,919,248,53,43
9,10,car,0.5908203125,440,231,50,42
9,13,car,0.357666015625,628,211,29,23
9,17,car,0.332763671875,370,210,37,35
10,1,car,0.87060546875,534,347,128,96
10,2,truck,0.79833984375,718,205,68,58
10,3,car,0.8232421875,711,326,114,88
10,4,truck,0.69580078125,599,283,104,83
10,5,car,0.8154296875,434,282,88,58
10,6,car,0.57958984375,836,238,44,31
10,7,car,0.607421875,389,254,65,51
10,8,car,0.73095703125,1125,282,66,48
10,9,truck,0.4130859375,917,248,53,43
10,10,car,0.56396484375,440,231,52,43
10,13,car,0.3720703125,627,211,30,23
10,17,car,0.32421875,371,210,38,35
11,1,car,0.8623046875,536,348,131,97
11,2,truck,0.80078125,718,206,67,58
11,3,car,0.85107421875,714,327,115,88
11,4,truck,0.6826171875,600,283,104,85
11,5,car,0.82421875,435,283,89,59
11,6,car,0.640625,835,238,44,32
11,7,car,0.55810546875,389,254,64,52
11,8,car,0.69091796875,1123,281,66,48
11,9,truck,0.537109375,916,248,53,42
11,10,car,0.544921875,441,232,51,43
11,13,car,0.383056640625,626,211,30,23
11,17,car,0.2705078125,372,209,38,34
12,1,car,0.86328125,540,349,135,98
12,2,truck,0.7919921875,717,205,67,58
12,3,car,0.85595703125,717,327,115,89
12,4,truck,0.66552734375,602,284,106,85
12,5,car,0.83203125,436,283,88,60
12,6,car,0.6318359375,834,238,44,32
12,7,car,0.57763671875,390,255,64,51
12,8,car,0.73388671875,1121,281,66,48
12,9,truck,0.455078125,915,247,51,42
12,10,car,0.51953125,442,232,50,44
12,13,car,0.422607421875,625,210,30,23
12,17,car,0.2493896484375,372,210,38,33
13,1,car,0.87158203125,543,350,136,97
13,2,truck,0.751953125,716,205,67,58
13,3,car,0.82763671875,721,328,115,90
13,4,truck,0.7041015625,603,284,105,86
13,5,car,0.83984375,437,284,88,60
13,6,car,0.57177734375,833,238,44,32
13,7,car,0.611328125,390,256,64,51
13,8,car,0.73876953125,1119,280,65,48
13,9,truck,0.56396484375,913,247,53,42
13,10,car,0.49609375,443,232,50,43
13,13,car,0.267333984375,625,210,30,23
13,17,car,0.248046875,373,210,38,33
14,1,car,0.8740234375,544,351,137,98
14,2,truck,0.77978515625,715,205,68,59
14,3,car,0.8154296875,724,329,116,91
14,4,truck,0.67578125,605,284,105,86
14,5,car,0.83544921875,438,284,88,61
14,6,car,0.60009765625,831,238,45,32
14,7,car,0.642578125,391,257,64,50
14,8,car,0.73095703125,1117,281,64,48
14,9,truck,0.505859375,912,246,52,42
14,10,car,0.46484375,443,232,50,44
14,13,car,0.2705078125,624,210,31,24
14,17,car,0.1943359375,373,210,39,34
15,1,car,0.884765625,546,352,136,100
15,2,truck,0.7890625,714,205,69,59
15,3,car,0.8232421875,727,330,118,92
15,4,truck,0.689453125,607,285,106,86
15,5,car,0.78515625,439,284,88,62
15,6,car,0.56005859375,831,237,45,33
15,7,car,0.64794921875,391,257,64,50
15,8,car,0.7890625,1114,280,65,48
15,9,truck,0.39794921875,911,246,53,42
15,10,car,0.5078125,444,232,50,44
15,13,car,0.276611328125,624,210,32,24
15,17,car,0.2147216796875,373,209,39,34
16,1,car,0.88818359375,547,353,134,100
16,2,truck,0.76220703125,713,205,69,59
16,3,car,0.72509765625,730,332,120,93
16,4,truck,0.449462890625,609,285,105,86
16,5,car,0.7734375,441,285,88,62
16,6,car,0.552734375,830,238,45,32
16,7,car,0.62451171875,391,257,64,50
16,8,car,0.76904296875,1112,280,64,49
16,9,truck,0.501953125,910,246,52,42
16,10,car,0.458984375,445,232,50,43
16,13,car,0.3310546875,623,210,31,24
16,17,car,0.17333984375,374,210,39,34
