Frame,ID,Class,Confidence,X,Y,Width,Height
0,1,truck,0.90673828125,1836,691,168,117
0,2,car,0.8896484375,1105,683,171,96
0,3,car,0.88427734375,828,685,148,83
0,4,car,0.8232421875,589,663,105,68
0,5,car,0.822265625,918,656,93,48
0,6,car,0.81884765625,495,656,84,54
0,7,car,0.7919921875,788,652,102,65
0,8,car,0.73095703125,429,650,67,45
0,9,truck,0.68408203125,1023,666,109,75
0,10,car,0.673828125,1248,671,67,78
0,11,car,0.640625,723,646,57,46
0,12,car,0.552734375,1350,678,219,112
0,13,truck,0.5390625,1350,678,220,112
0,14,car,0.5078125,1201,667,57,55
0,15,truck,0.501953125,483,615,78,43
0,16,car,0.394287109375,364,628,42,27
0,17,car,0.355712890625,325,630,43,32
0,18,car,0.33642578125,209,639,61,43
0,19,car,0.310791015625,283,639,63,45
0,20,truck,0.2568359375,471,616,99,49
1,1,truck,0.892578125,1843,692,149,115
1,2,car,0.89404296875,1115,683,170,94
1,3,car,0.87255859375,835,686,151,79
1,4,car,0.83203125,593,663,104,66
1,5,car,0.8017578125,923,656,91,47
1,6,car,0.8291015625,499,656,86,55
1,7,car,0.72802734375,790,653,103,65
1,8,car,0.76220703125,431,650,67,46
1,9,truck,0.74609375,1026,665,114,74
1,10,car,0.62060546875,1255,670,66,77
1,11,car,0.51171875,727,646,55,47
1,12,car,0.494140625,1358,679,221,113
1,13,truck,0.607421875,1359,678,221,113
1,14,car,0.525390625,1209,668,60,56
1,15,truck,0.537109375,486,613,75,43
1,16,car,0.418701171875,363,628,47,27
1,17,car,0.315673828125,325,630,41,31
1,18,car,0.2568359375,212,640,64,43
1,19,car,0.322509765625,284,640,61,40
1,20,truck,0.153076171875,472,614,103,45
2,1,truck,0.87158203125,1852,692,134,115
2,2,car,0.900390625,1124,684,173,95
2,3,car,0.87744140625,842,687,151,80
2,4,car,0.8154296875,598,663,104,67
2,5,car,0.78271484375,930,656,92,46
2,6,car,0.81982421875,502,657,86,53
2,7,car,0.74169921875,796,653,102,64
2,8,car,0.7607421875,435,650,67,45
2,9,truck,0.65673828125,1035,665,109,76
2,10,car,0.71875,1266,670,63,77
2,11,car,0.6513671875,735,647,59,46
2,12,car,0.546875,1367,679,226,114
2,13,truck,0.466796875,1367,679,226,114
2,14,car,0.60009765625,1215,669,60,55
2,15,truck,0.64599609375,487,614,78,44
2,16,car,0.42431640625,366,628,44,27
2,17,car,0.363037109375,329,630,39,32
2,18,car,0.43212890625,216,641,68,43
2,19,car,0.4921875,288,638,59,47
3,1,truck,0.85498046875,1854,693,125,114
3,2,car,0.892578125,1135,685,175,95
3,3,car,0.8662109375,851,688,153,79
3,4,car,0.8408203125,603,664,107,68
3,5,car,0.79443359375,936,657,92,48
3,6,car,0.81396484375,505,658,86,54
3,7,car,0.77197265625,801,652,104,64
3,8,car,0.75927734375,438,650,68,45
3,9,truck,0.73095703125,1043,665,109,76
3,10,car,0.658203125,1276,670,66,79
3,11,car,0.67724609375,737,647,61,46
3,12,truck,0.69921875,1377,680,227,115
3,13,car,0.4921875,1376,680,228,115
3,14,car,0.55078125,1223,669,60,55
3,15,truck,0.609375,488,614,77,45
3,16,car,0.352294921875,369,628,43,28
3,17,car,0.332763671875,330,630,38,32
3,18,car,0.470703125,217,640,71,44
3,19,car,0.494140625,290,636,60,50
4,1,truck,0.7958984375,1869,694,98,114
4,2,car,0.89013671875,1147,685,174,96
4,3,car,0.87744140625,861,689,154,79
4,4,car,0.83203125,605,664,114,68
4,5,car,0.71533203125,942,657,93,48
4,6,car,0.7919921875,507,657,84,55
4,7,car,0.7431640625,805,652,105,64
4,8,car,0.75634765625,441,650,69,46
4,9,truck,0.71044921875,1049,666,111,78
4,10,car,0.447509765625,1287,671,63,80
4,11,car,0.59814453125,739,647,59,47
4,12,truck,0.6826171875,1386,680,232,116
4,13,car,0.478515625,1386,680,231,116
4,14,car,0.498046875,1236,669,61,54
4,15,truck,0.56396484375,491,614,77,45
4,16,car,0.359375,371,627,40,27
4,17,car,0.27197265625,334,631,39,30
4,18,car,0.53125,220,641,73,45
4,19,car,0.455078125,292,636,62,51
5,1,truck,0.7490234375,1880,703,76,98
5,2,car,0.89013671875,1158,686,176,97
5,3,car,0.875,869,690,155,80
5,4,car,0.8310546875,609,664,116,70
5,5,car,0.77587890625,949,657,95,50
5,6,car,0.73583984375,509,658,84,55
5,7,car,0.77734375,809,653,107,65
5,8,car,0.67919921875,444,650,68,48
5,9,truck,0.76904296875,1054,667,115,79
5,10,car,0.46484375,1295,671,62,80
5,11,car,0.5546875,743,647,57,47
5,12,truck,0.67236328125,1394,681,238,118
5,14,car,0.5908203125,1245,670,61,55
5,15,truck,0.51953125,493,614,78,46
5,16,car,0.4111328125,371,628,41,28
5,17,car,0.262939453125,334,631,40,30
5,18,car,0.401611328125,224,641,69,44
5,19,car,0.4072265625,293,637,62,50
5,25,car,0.60205078125,1814,654,135,37
6,1,truck,0.60009765625,1892,707,52,94
6,2,car,0.892578125,1169,687,178,98
6,3,car,0.86083984375,878,691,158,81
6,4,car,0.822265625,616,665,114,69
6,5,car,0.7548828125,955,657,93,52
6,6,car,0.68603515625,513,658,83,55
6,7,car,0.796875,814,653,108,66
6,8,car,0.716796875,448,650,65,49
6,9,truck,0.77197265625,1061,667,115,79
6,10,car,0.1441650390625,1305,668,62,70
6,11,car,0.505859375,746,647,54,48
6,12,truck,0.7294921875,1401,681,245,118
6,14,car,0.556640625,1256,670,64,57
6,15,truck,0.43408203125,496,614,76,45
6,16,car,0.443603515625,373,628,40,28
6,17,car,0.310791015625,335,632,42,29
6,18,car,0.203125,229,642,68,41
6,19,car,0.42822265625,295,638,62,48
6,25,car,0.67919921875,1791,654,135,37
6,28,truck,0.42626953125,714,640,80,53
