Frame,ID,Class,Confidence,X,Y,Width,Height
0,1,car,0.927734375,1710,746,401,178
0,2,car,0.88623046875,1114,689,174,79
0,3,car,0.8857421875,822,666,120,64
0,4,car,0.8759765625,1299,666,147,77
0,5,car,0.85400390625,1533,687,186,103
0,6,car,0.8447265625,945,661,124,63
0,7,car,0.81982421875,611,661,105,58
0,8,truck,0.79296875,379,634,94,64
0,9,car,0.7705078125,503,632,52,30
0,10,car,0.69287109375,1827,720,183,160
0,11,truck,0.68408203125,317,600,53,69
0,12,truck,0.6826171875,810,600,174,61
0,13,car,0.61328125,628,645,94,61
0,14,car,0.57177734375,987,654,79,61
0,15,car,0.541015625,1155,630,87,33
0,16,car,0.439697265625,190,622,53,43
0,17,car,0.37744140625,1411,641,117,31
0,18,car,0.3720703125,98,615,43,39
0,19,truck,0.352294921875,281,603,79,75
0,20,car,0.34521484375,67,615,33,31
0,21,truck,0.325927734375,269,602,53,72
0,22,car,0.287841796875,267,624,51,39
1,1,car,0.91796875,1725,748,386,182
1,2,car,0.8857421875,1124,689,176,80
1,3,car,0.8857421875,827,666,121,64
1,4,car,0.8818359375,1309,666,149,77
1,5,car,0.8759765625,1547,688,183,103
1,6,car,0.85009765625,952,662,124,62
1,7,car,0.77880859375,615,661,109,59
1,8,truck,0.73095703125,382,635,95,63
1,9,car,0.751953125,504,632,53,29
1,11,truck,0.470703125,319,600,51,68
1,12,truck,0.7578125,805,600,172,61
1,13,car,0.65673828125,631,646,97,59
1,14,car,0.5869140625,989,654,89,62
1,15,car,0.414794921875,1146,629,89,32
1,16,car,0.439697265625,190,623,52,43
1,17,car,0.521484375,1405,640,106,31
1,18,car,0.26123046875,98,615,45,38
1,19,truck,0.39990234375,292,603,95,75
1,20,car,0.1591796875,68,615,34,34
1,21,truck,0.33642578125,271,603,52,75
1,22,car,0.24072265625,270,623,49,39
2,1,car,0.91064453125,1740,750,355,181
2,2,car,0.8857421875,1136,690,178,80
2,3,car,0.88818359375,832,667,120,65
2,4,car,0.87158203125,1321,667,152,79
2,5,car,0.8984375,1563,689,185,104
2,6,car,0.84912109375,959,662,126,63
2,7,car,0.83203125,624,663,112,59
2,8,truck,0.74609375,385,636,95,62
2,9,car,0.76611328125,506,632,54,29
2,11,truck,0.78271484375,321,600,50,67
2,12,truck,0.74755859375,799,600,171,61
2,13,car,0.363037109375,629,640,109,49
2,14,car,0.66357421875,991,655,100,60
2,15,car,0.494140625,1134,629,90,30
2,16,car,0.287841796875,194,623,58,42
2,17,car,0.556640625,1396,640,90,32
2,18,car,0.3310546875,104,617,47,35
2,20,car,0.275146484375,69,615,34,31
2,21,truck,0.4609375,272,603,53,75
2,22,car,0.226806640625,271,623,52,40
2,23,car,0.658203125,1866,680,107,80
3,1,car,0.91357421875,1756,753,324,187
3,2,car,0.880859375,1149,691,179,81
3,3,car,0.884765625,840,667,123,65
3,4,car,0.88330078125,1335,667,154,80
3,5,car,0.8740234375,1584,690,195,107
3,6,car,0.8388671875,968,663,128,64
3,7,car,0.82568359375,631,663,113,59
3,8,truck,0.80908203125,390,636,96,62
3,9,car,0.76611328125,509,632,55,30
3,11,truck,0.71044921875,320,600,54,68
3,12,truck,0.7646484375,793,600,169,61
3,13,car,0.420654296875,631,638,115,44
3,14,car,0.61669921875,998,654,103,58
3,15,car,0.60009765625,1118,629,85,29
3,16,car,0.4609375,194,624,55,43
3,17,car,0.414794921875,1376,638,99,33
3,18,car,0.1778564453125,104,616,42,36
3,20,car,0.1981201171875,70,615,34,32
3,21,truck,0.1441650390625,273,600,50,68
3,22,car,0.418701171875,274,624,52,38
3,26,car,0.56787109375,1713,652,104,26
4,1,car,0.92236328125,1774,756,291,193
4,2,car,0.8916015625,1162,692,182,82
